,source,target
1970,7126m,1192f
1971,7127m,4956f
1972,715m,3286f
1973,717m,4658f
1974,719m,4844f
1975,7217m,5680f
1976,7218m,2376f
1977,7219m,7234f
1978,7220m,3817f
1979,7221m,1105f
1980,7222m,1782f
1981,7223m,7058f
1982,7228m,7143f
1983,723m,5336f
1984,725m,4036f
1985,728m,2298f
1986,7308m,5988f
1987,7309m,2928f
1988,7310m,7331f
1989,7311m,4457f
1990,7312m,121f
1991,7313m,2005f
1992,7315m,7530f
1993,7316m,3055f
1994,731m,3734f
1995,7320m,4548f
1996,733m,2834f
1997,735m,1788f
1998,7408m,5061f
1999,7409m,4231f
2000,7410m,7424f
2001,7411m,7333f
2002,7412m,1660f
2003,742m,4950f
2004,747m,3614f
2005,747m,1376f
2006,7508m,7526f
2007,7509m,560f
2008,750m,2837f
2009,7510m,3618f
2010,7511m,7523f
2011,7512m,1583f
2012,7513m,3681f
2013,7517m,4698f
2014,751m,1864f
2015,754m,2596f
2016,756m,849f
2017,760m,3655f
2018,7612m,7733f
2019,7613m,7843f
2020,7614m,3301f
2021,762m,597f
2022,765m,1239f
2023,76m,4703f
2024,7713m,7731f
2025,7714m,7729f
2026,7715m,7625f
2027,7716m,5824f
2028,7717m,4970f
2029,7718m,7732f
2030,7722m,7435f
2031,772m,771f
2032,773m,5559f
2033,775m,1831f
2034,776m,703f
2035,777m,2509f
2036,779m,1510f
2037,77m,701f
2038,780m,3313f
2039,7816m,7844f
2040,7817m,7846f
2041,7822m,1004f
2042,784m,2626f
2043,788m,181f
2044,792m,4357f
2045,798m,4162f
2046,806m,1750f
2047,809m,2787f
2048,811m,3976f
2049,813m,1737f
2050,815m,2818f
2051,816m,123f
2052,817m,2274f
2053,821m,1725f
2054,833m,5246f
2055,834m,3713f
2056,837m,2678f
2057,838m,4384f
2058,839m,4716f
2059,840m,3465f
2060,841m,5253f
2061,842m,360f
2062,845m,4974f
2063,847m,4984f
2064,848m,566f
2065,851m,6509f
2066,854m,472f
2067,858m,222f
2068,858m,4532f
2069,868m,128f
2070,870m,3401f
2071,873m,460f
2072,879m,628f
2073,880m,3034f
2074,886m,42f
2075,889m,3736f
2076,88m,1638f
2077,893m,4288f
2078,895m,4616f
2079,897m,702f
2080,8m,1404f
2081,902m,236f
2082,905m,824f
2083,908m,2629f
2084,915m,4749f
2085,918m,3206f
2086,919m,2976f
2087,921m,1752f
2088,922m,3593f
2089,924m,3161f
2090,925m,2197f
2091,927m,3565f
2092,934m,1544f
2093,937m,2620f
2094,939m,5345f
2095,947m,3582f
2096,949m,4249f
2097,94m,5291f
2098,951m,2154f
2099,953m,1414f
2100,955m,1299f
2101,957m,5279f
2102,959m,511f
2103,95m,4743f
2104,966m,5311f
2105,972m,306f
2106,974m,2816f
2107,975m,3007f
2108,977m,1876f
2109,981m,6610f
2110,983m,1080f
2111,984m,161f
2112,987m,1721f
2113,98m,5518f
2114,990m,3592f
2115,994m,482f
2116,996m,1274f
2117,998m,3202f
2118,9m,4887f
